CODIGO,NOME_DA_ESCALA,DESCRICAO_DA_ESTRUTURA
1,0001PA SEG A QUIN 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00,SEG A QUI 08:00 AS 18:00 SEX 08:00 AS 17:00
2,0002PA SEG A SEX 08:00 AS 17:00 E SAB 08:00 AS 12:00,SEG A SEX 08:00 AS 17:00 E SAB 08:00 AS 12:00
3,0003PA SEG A SEX 08:00 AS 17:00,SEG A SEX 08:00 AS 17:00
4,0004 SEG A SEX 11:00 AS 20:00 RECIFE,SEG A SEX 11:00 AS 20:00 RECIFE
5,0006PA 12X36 DIURNO,0006PA 12X36 DIURNO
6,0007PA 12X36 NOTURNO,0007PA 12X36 NOTURNO
7,0008 SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00,0008 SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00
8,0009PA 2a 5a 07:00 AS 17:00 / SEX 07:00 AS 16:00,0009PA 2a 5a 07:00 AS 17:00 / SEX 07:00 AS 16:00
9,0010 SEG A QUI 10:00 AS 20:00 SEX 10:00 AS 19:00,0010 SEG A QUI 10:00 AS 20:00 SEX 10:00 AS 19:00
10,0011 SEG A QUI 09:00 AS 19:00 SEX DAS 09:00 AS 18:00,0011 SEG A QUI 09:00 AS 19:00 SEX DAS 09:00 AS 18:00
11,0012 2 a 4 DAS 08:00 AS 14:00:20 e QUI A SEX 09 AS 12,0012 2 a 4 DAS 08:00 AS 14:00:20 e QUI A SEX 09 AS 12
12,0013 SEG A SAB DAS 13:40 AS 20:00,0013 SEG A SAB DAS 13:40 AS 20:00
13,0014 SEG A SAB DAS 15:40 AS 22:00,0014 SEG A SAB DAS 15:40 AS 22:00
14,0015 SEG A QUI 06:00 AS 16:00 SEX 06:00 AS 15:00,0015 SEG A QUI 06:00 AS 16:00 SEX 06:00 AS 15:00
15,0016PA SEG A SEX 07:00 AS 17:00,0016PA SEG A SEX 07:00 AS 17:00
16,0017 SEG A SEX DAS 14:00 AS 22:00,0017 SEG A SEX DAS 14:00 AS 22:00
17,0018PA SEG A SEX DAS 22:00 AS 06:00,0018PA SEG A SEX DAS 22:00 AS 06:00
18,0019PA SEG A SEX NOTURNO 22:00 AS 06:00,0019PA SEG A SEX NOTURNO 22:00 AS 06:00
19,0020 SEG A SEX DAS 09:00 AS 16:00,0020 SEG A SEX DAS 09:00 AS 16:00
